c1,c2,c3,i1,i2,i3,i4,o
0.9020793229668226,2.830318353564255e-10,4.294499349333791e-10,0.097920675809493,1.0558656991359629e-13,1.566696099857146e-13,1.8275255367718977e-13,5.107577943273998e-10
0.9020793284099203,2.822448230082071e-10,4.2788585515347504e-10,0.09792067037102453,1.0553516218596393e-13,1.565692191647877e-13,1.826080677896287e-13,5.084797731403301e-10
0.902079333956243,2.8145058754397347e-10,4.263231286846734e-10,0.09792066482931813,1.0548235192574613e-13,1.5646704875123263e-13,1.8246205363865337e-13,5.062206478519396e-10
0.9020793396056392,2.8064946456500185e-10,4.247619857067936e-10,0.09792065918452501,1.0542814451121812e-13,1.563631166105328e-13,1.8231452802610784e-13,5.039802986662329e-10
0.9020793453579503,2.798417809781861e-10,4.2320262600331767e-10,0.09792065343680384,1.0537254592200658e-13,1.5625744048536444e-13,1.8216550652082885e-13,5.017576403182149e-10
0.9020793512130104,2.790278553891233e-10,4.216452508337154e-10,0.09792064758632031,1.0531556270236868e-13,1.5615003802219915e-13,1.820150048934902e-13,4.995528103891949e-10
0.902079357170647,2.782079978583255e-10,4.200900383320976e-10,0.09792064163324679,1.0525720192491871e-13,1.5604092673995333e-13,1.818630379901435e-13,4.9736497384714e-10
0.9020793632306815,2.7738251025349316e-10,4.185371667332999e-10,0.09792063557776191,1.0519747115679268e-13,1.5593012405153736e-13,1.8170962077760752e-13,4.951941869807351e-10
0.9020793693929291,2.7655168596928047e-10,4.1698678987836743e-10,0.09792062942005023,1.0513637842598653e-13,1.558176472279843e-13,1.8155476722067895e-13,4.930395349350803e-10
0.9020793756571998,2.757158105887479e-10,4.154390740784471e-10,0.09792062316030185,1.050739321910484e-13,1.5570351344670755e-13,1.8139849195312453e-13,4.909015368033732e-10
0.9020793820232978,2.748751613304593e-10,4.138941510635454e-10,0.09792061679871218,1.0501014130985012e-13,1.5558773973022613e-13,1.8124080813207165e-13,4.887788627013414e-10
0.9020793884910231,2.7403000753564173e-10,4.123521583026982e-10,0.09792061033548152,1.049450150109977e-13,1.5547034297786675e-13,1.8108172925596508e-13,4.866717347786045e-10
0.9020793950601704,2.7318061078058533e-10,4.108132249426324e-10,0.09792060377081482,1.0487856286649312e-13,1.5535133996355581e-13,1.809212685283277e-13,4.845798318718214e-10
0.9020794017305306,2.723272247921996e-10,4.0927746418929366e-10,0.09792059710492138,1.0481079476491932e-13,1.552307473156266e-13,1.8075943850163084e-13,4.825025193813058e-10
0.9020794085018901,2.7147009580381054e-10,4.0774499061730843e-10,0.09792059033801453,1.0474172088661657e-13,1.5510858153593693e-13,1.8059625185828514e-13,4.804398309285519e-10
0.9020794153740317,2.706094627548179e-10,4.0621591455935233e-10,0.09792058347031148,1.0467135168023516e-13,1.5498485900485525e-13,1.804317211578543e-13,4.78391585708633e-10
0.9020794223467347,2.697455570093526e-10,4.0469032336828716e-10,0.0979205765020329,1.0459969783896963e-13,1.548595959428671e-13,1.8026585797450545e-13,4.763568525230225e-10
0.9020794294197749,2.68878602946358e-10,4.0316831549474107e-10,0.09792056943340283,1.0452677027944367e-13,1.5473280845031504e-13,1.8009867444011187e-13,4.743360246486159e-10
0.9020794365929253,2.6800881795631164e-10,4.0164997792976723e-10,0.09792056226464835,1.044525801211227e-13,1.5460451249388296e-13,1.7993018222376026e-13,4.723286220679371e-10
0.9020794438659558,2.6713641252535067e-10,4.001353896632796e-10,0.09792055499599941,1.0437713866652725e-13,1.5447472390086644e-13,1.7976039268076675e-13,4.703342872403563e-10
0.9020794512386339,2.6626159060191743e-10,3.9862463301655064e-10,0.09792054762768859,1.0430045738317435e-13,1.54343458378838e-13,1.7958931736729587e-13,4.683531065765244e-10
0.9020794587107245,2.653845495303216e-10,3.9711777707411137e-10,0.0979205401599509,1.0422254788570687e-13,1.5421073149649147e-13,1.794169672861128e-13,4.6638451695895e-10
0.9020794662819902,2.645054802144108e-10,3.956148866950145e-10,0.0979205325930236,1.0414342191898457e-13,1.540765586851564e-13,1.7924335328830586e-13,4.644282958729763e-10
0.9020794739521919,2.6362456748543065e-10,3.941160308701821e-10,0.09792052492714595,1.0406309134279337e-13,1.539409552587618e-13,1.7906848645514686e-13,4.6248455278075146e-10
0.9020794817210882,2.627419898988144e-10,3.926212606879388e-10,0.09792051716255916,1.0398156811617062e-13,1.5380393638265023e-13,1.7889237709361288e-13,4.605525302175183e-10
0.9020794895884363,2.6185792045871244e-10,3.911306457700872e-10,0.09792050929950608,1.0389886428451406e-13,1.5366551712578601e-13,1.7871503639173826e-13,4.5863289818867706e-10
0.9020794975539919,2.609725260472243e-10,3.896442241153262e-10,0.09792050133823109,1.0381499196496862e-13,1.5352571239689964e-13,1.785364741392722e-13,4.567243633084753e-10
0.9020795056175089,2.600859681633862e-10,3.881620530781757e-10,0.09792049327897999,1.0372996333460808e-13,1.5338453699823263e-13,1.7835670103454887e-13,4.5482761397090113e-10
0.9020795137787406,2.591984027748342e-10,3.866841754035528e-10,0.09792048512199977,1.0364379061829269e-13,1.5324200559993657e-13,1.781757271495999e-13,4.5294202388662313e-10
0.9020795220374388,2.5830998047418524e-10,3.852106310619062e-10,0.09792047686753852,1.035564860772527e-13,1.5309813274192747e-13,1.7799356245894484e-13,4.5106741653590936e-10
0.9020795303933543,2.5742084683763427e-10,3.837414655165521e-10,0.09792046851584525,1.0346806199905965e-13,1.5295293285410962e-13,1.7781021721799678e-13,4.492039456022563e-10
0.9020795388462375,2.5653114227907083e-10,3.8227671031308866e-10,0.09792046006716981,1.0337853068722261e-13,1.528064202315617e-13,1.7762570108043105e-13,4.4735100439138345e-10
0.9020795473958376,2.5564100241267514e-10,3.808164029934644e-10,0.09792045152176274,1.0328790445215357e-13,1.5265860905550675e-13,1.7744002399808103e-13,4.4550875994457875e-10
0.9020795560419037,2.547505582516783e-10,3.793605811913858e-10,0.09792044287987511,1.0319619560289731e-13,1.5250951339987357e-13,1.7725319595860836e-13,4.436771596194988e-10
0.9020795647841843,2.5385993591925436e-10,3.7790926362082985e-10,0.0979204341417585,1.0310341643794429e-13,1.5235914719428516e-13,1.770652261149248e-13,4.4185539536036115e-10
0.9020795736224273,2.5296925722472557e-10,3.7646248389886194e-10,0.09792042530766476,1.0300957923810294e-13,1.5220752426482733e-13,1.7687612431699106e-13,4.400439787918044e-10
0.9020795825563808,2.520786396409882e-10,3.7502026775102705e-10,0.09792041637784606,1.029146962593246e-13,1.5205465832144608e-13,1.7668590008456277e-13,4.382425436621813e-10
